USER,COURSE_ID,SCORE
2,ML0201EN,43.0
2,GPXX0ZG0EN,43.0
2,DX0106EN,47.0
2,GPXX06RFEN,52.0
2,CC0271EN,58.0
2,WA0103EN,49.0
2,DX0108EN,43.0
2,DE0205EN,86.0
2,OS0101EN,43.0
2,CC0210EN,40.0
2,PA0103EN,62.0
2,HCC104EN,40.0
2,PA0107EN,62.0
2,DB0113EN,52.0
2,PA0109EN,43.0
2,GPXX0IBEN,105.0
2,SECM03EN,40.0
2,SW0201EN,73.0
2,GPXX0BUBEN,74.0
2,ST0201EN,43.0
2,ST0301EN,43.0
2,SW0101EN,73.0
2,TMP0101EN,76.0
2,GPXX04HEEN,43.0
2,CO0401EN,43.0
2,TMP107,43.0
2,GPXX01DCEN,62.0
2,GPXX0JZ4EN,43.0
2,GPXX0ZYVEN,43.0
2,GPXX0ZMZEN,62.0
2,GPXX01RYEN,52.0
2,GPXX0YMEEN,47.0
2,GPXX0Q8AEN,57.0
2,GPXX0XFQEN,52.0
2,GPXX07REN,52.0
2,BC0202EN,40.0
2,GPXX0725EN,52.0
2,GPXX0MIIEN,52.0
2,GPXX0435EN,43.0
2,GPXX06ZLEN,52.0
2,GPXX0LLEEN,58.0
2,BD0115EN,93.0
2,GPXX04V3EN,54.0
2,GPXX0D14EN,81.0
2,GPXX0NHZEN,52.0
2,CO0301EN,40.0
2,DA0201EN,43.0
2,DB0111EN,52.0
2,DB0115EN,52.0
2,DA0151EN,61.0
2,DB0151EN,93.0
2,GPXX0KHHEN,62.0
2,GPXX04P5EN,62.0
2,GPXX0PG8EN,72.0
2,ML0101ENv3,47.0
2,GPXX0UMSEN,43.0
2,GPXX0M6UEN,93.0
2,GPXX097UEN,93.0
2,GPXX04MXEN,43.0
2,GPXX0RL8EN,43.0
2,GPXX0TY1EN,101.0
2,GPXX0T3CEN,58.0
2,GPXX05RDEN,43.0
2,GPXX0G81EN,43.0
2,ML0151EN,51.0
2,GPXX0G31EN,86.0
2,GPXX0KY1EN,72.0
2,CC0150EN,49.0
2,GPXX0RQLEN,52.0
2,GPXX0ADEN,43.0
2,excourse01,52.0
2,excourse02,95.0
2,excourse03,93.0
2,excourse04,81.0
2,excourse05,93.0
2,excourse06,81.0
2,excourse07,52.0
2,excourse09,43.0
2,excourse10,93.0
2,excourse11,52.0
2,excourse12,66.0
2,excourse13,52.0
2,excourse14,52.0
2,excourse20,57.0
